pid|manufacturer|group|content|unit|pharmForm|genericProduct|salesIndex|category|campaignIndex|rrp
80|42|21OKG|100|ML|OEL|0|53|3||19.25
81|43|20OHF|1|ST||0|53|34||5.09
82|44|22OI5|75|ML|BAL|0|53|20||10.78
83|10|1COI0FKO|20|ML|NAS|0|53|35||4.90
84|45|14OI0FOK|100|ML|KON|0|40|14||104.87
85|46|22OZ1|75|ML|ZPA|0|53|36||4.28
86|17|2FOI|50|ST|TAB|0|40|17||11.58
87|47|21OI2|4X200|ML|LOE|0|53|37||19.14
88|17|2FOI|250|ST|TAB|0|40|17||38.97
89|48|22OI3|50|ML|EMU|0|53|38||22.99
90|48|22OI3|50|ML|EMU|0|53|38||22.99
91|9|22OI3|100|ML||0|53|10||14.85
92|40|21OIE|100|ST|TAB|0|53|32||17.55
93|49|21OK2|120|ST|KAP|0|53|||36.25
94|49|21OK2|100|ST|KAP|0|53|||29.65
95|49|21OK4|150|ST|KAP|0|53|3||29.65
96|49|21OKG|150|ST|KAP|0|53|3||29.65
97|50|1DOIF0ZO|30X0.6|ML|EDP|0|40|39||15.17
98|50|1DOIF0ZO|60X0.6|ML|EDP|0|40|39||25.19
99|50|1DOIF0ZO|120X0.6|ML|EDP|0|40|39||40.78
100|21|22OI5|150|ML|XDS|0|53|40||9.13
101|51|21OIG|100|ST|TAB|0|53|41||27.45
102|28|2FOI|120|ST|TAB|0|40|42||9.85
103|52|22OZG|12|ST|KGU|0|53|43||1.09
104|52|22OZG|12|ST|KGU|0|53|43||1.09
105|53|21OS0|20|ST|FBE|0|53|44||6.55
106|38|1EOH1|100|ST|TTR|0|53|45||90.75
107|9|22OI3|30|ML||0|53|8||15.29
108|54|19OI11ZO|20|ST|PFL|0|40|12||68.19
109|55|21OKG|125|ST|KAP|0|53|3||24.42
110|54|19OI11ZO|5X5|G|CRE|0|40|46||38.25
111|9|22OI3|30|ML|XPK|0|53|10||11.99
112|36|21OKG|20|ML|TRO|0|53|47||13.20
113|36|21OKG|20|ML|TRO|0|53|47||13.20
114|56|10IK0|250|ML|LOE|0|52|48||21.95
115|57|1COI0FIO|20|ML|NAS|0|53|35||6.41
116|58|18OI0EOI|10|ST|FTA|1|40|49||2.97
117|58|18OI0EOI|20|ST|FTA|1|40|50|A|5.07
118|59|1EOH1|1|ST|TES|0|53|51||8.49
119|47|21OI2|4X200|ML|LOE|0|53|37||19.14
120|47|21OI2|4X200|ML|LOE|0|53|37||19.14
121|16|22OI3|50|ML|SCH|0|53|52||16.60
122|60|2FOZ|50|ML|DIL|0|40|53||30.87
123|61|21OH2|500|ML|LOE|0|53|||13.09
124|62|22OI3|100|ML|CRE|0|53|54||54.23
125|63|21OKF|80|G|PUL|0|53|3||8.65
126|64|22OIF|200|ML|SHA|0|53|55||5.38
127|65|1EOT0E|200|ST|TUE|0|53|56||17.28
128|66|14OZ2F|6X5|ML|GEL|0|53|7||15.35
129|66|14OZ2F|12X5|ML|GEL|0|53|7||21.95
130|66|14OI03OI|6X5|ML|GEL|0|53|7||17.55
131|67|21OS1|70|G|TEE|0|52|48||8.24
132|36|21OKG|20|ML|TRO|0|53|47||13.20
133|36|21OKG|20|ML|TRO|0|53|47||13.20
134|36|21OKG|20|ML|TRO|0|53|47||13.20
135|36|21OKG|20|ML|TRO|0|53|47||13.20
136|68|21OKG|5X25|ML|FLA|0|53|57|B|6.49
137|69|20OH5|30|ST||0|53|14||6.60
138|70|23|50|ML|FLU|0|53|58||15.29
139|71|21OK2|260|G|PUL|0|53|28||14.18
140|36|21OKG|20|ML|TRO|0|53|47||13.20
141|72|22OZG|200|ML|GUL|0|53|19||12.62
142|61|21OKG|450|G||0|53|||5.49
143|24|18OZ00OT|100|G|GEL|0|40|25||6.12
144|73|22OI3|150|ML|FSE|0|53|52||11.99
145|74|2FOI|50|ML|TRO|0|40|23||14.21
146|75|13II00|70|G|SAL|0|40|40||8.25
147|17|2FOI|30|ML|TRO|0|40|59||11.97
148|17|2FOI|100|ML|TRO|0|40|17||30.16
149|36|21OKG|20|ML|TRO|0|53|47||13.20
150|36|21OKG|20|ML|TRO|0|53|47||13.20
151|36|21OKG|20|ML|TRO|0|53|47||13.20
152|36|21OKG|20|ML|TRO|0|53|47||13.20
153|52|21OJ1|40|ST|PAS|0|53|43||1.09
154|52|21OJ1|65|ST|PAS|0|53|43||1.97
155|76|13OZ0F|100|G|SAL|0|40|60||15.73
156|77|14OZ2FOH|100|ST|HKP|0|40|61||12.54
157|21|22OI5|150|ML|SPR|0|53|62||9.13
158|4|1COS21OJ|10|ST|REK|1|40|18|B|8.24
159|78|20OIF|1|ST||0|53|63||18.19
160|78|20OIF|1|ST||0|53|63||18.19
161|50|1DOIF0ZO|10|G|AUG|0|40|39||4.94
162|50|1DOIF0ZO|3X10|G|AUG|0|40|39||9.85
163|17|2FOI|30|ML|TRO|0|40|17||11.90
164|17|2FOI|100|ML|TRO|0|40|17||30.03
165|36|21OKG|20|ML|TRO|0|53|47||13.20
166|36|21OKG|20|ML|TRO|0|53|47||13.20
167|36|21OKG|20|ML|TRO|0|53|47||13.20
168|36|21OKG|20|ML|TRO|0|53|47||13.20
169|79|20OH4|100|ML|SPR|0|53|64||6.59
170|80|22OI4|1|ST|STI|0|53|||6.60
171|80|22OI4|1|ST|STI|0|53|||6.60
172|47|21OI2|4X200|ML|LOE|0|53|37||19.14
173|47|21OI2|4X200|ML|LOE|0|53|65||18.48
174|47|21OI2|4X200|ML|LOE|0|53|66||18.48
175|47|21OI2|4X200|ML|LOE|0|53|67||20.37
176|47|21OI2|4X200|ML|LOE|0|53|68||20.37
177|47|21OI2|4X200|ML|LOE|0|53|68||20.37
178|28|21OK2|120|ST|TAB|0|53|||8.91
179|28|21OK2|600|ST|TAB|0|53|42||26.73
180|36|21OKG|20|ML|TRO|0|53|47||13.20
181|36|21OKG|20|ML|TRO|0|53|47||13.20
182|36|21OKG|20|ML|TRO|0|53|47||13.20
183|36|21OKG|20|ML|TRO|0|53|47||13.20
184|25|20OH5|1|ST||0|53|||10.00
185|81|21OKG|100|G|PUL|0|53|||18.64
186|47|21OI2|4X200|ML|LOE|0|53|69||20.37
187|47|21OI2|4X200|ML|LOE|0|53|69||20.37
188|65|20OH5|1|ST||0|53|70||4.12
189|82|21OK2|40|ST|PEL|0|53|71||17.55
190|7|13OI02OI|20|G|CRE|0|40|72||4.18
191|32|10OJ02OI|30X5.8|G|PUL|0|40|73||13.17
192|83|22OI2|400|ML|XDG|0|53|24||19.80
193|18|18OI0EOI|10|ST|FTA|1|40|50||3.49
194|18|18OI0EOI|20|ST|FTA|1|40|50||5.78
195|84|22OI3|50|G|CRE|0|53|8||7.43
196|85|10OS0F|60|ST|DRA|0|52|44||14.25
197|60|2FOZ|50|ML|ESS|0|52|74||10.42
198|60|2FOZ|100|ML|ESS|0|52|74||16.08
199|86|22OI3|50|G|SAL|0|53|8||12.07
200|87|22OIF|200|ML|SHA|0|53|||9.08
201|87|22OIF|200|ML|SHA|0|53|75||9.08
202|87|22OKG|200|ML|SHA|0|53|76||9.08
203|6|22OI3|50|ML|CRE|0|53|29||35.09
204|6|22OI3|50|ML|CRE|0|53|29||35.09
205|88|22OI2|150|ML||0|53|76||16.39
206|84|23|140|G|STR|0|53|77||8.20
207|84|23|140|G|STR|0|53|77||8.20
208|89|22OI4|10|G|CRE|0|53|78||7.44
209|90|20OZ2|12|ST||0|53|79||20.52
210|88|22OI3|150|ML|OEL|0|53|8||25.19
211|28|2FOI|50|ML|TRO|0|40|42||14.36
212|61|21OS0|100|G|TEE|0|53|80||5.23
213|91|20OHF|1|ST||0|53|34||6.61
214|10|14OZ2FOH|60|ST|HKP|0|40|61||10.39
215|10|14OZ2FOH|100|ST|HKP|0|40|61||16.34
216|92|2FOZ|10X1|ML|AMP|0|40|81||19.69
217|93|21OKG|90|ST|KAP|0|53|3||15.35
218|94|22OI2|500|ML|PST|0|53|24||3.43
219|92|2FOZ|20|G|GLO|0|40|82||11.55
220|92|2FOZ|20|G|GLO|0|40|82||11.55
221|82|18OZ0FIO|150|ML|SPR|0|53|64||8.42
222|92|2FOZ|20|G|GLO|0|40|82||11.55
223|92|2FOZ|10X1|ML|AMP|0|40|||19.69
224|92|2FOZ|20|G|GLO|0|40|82||11.55
225|92|2FOZ|10X1|ML|AMP|0|40|81||19.69
226|95|20OI3|5|ST||0|53|12||7.37
227|95|20OI3|5|ST||0|53|12||12.68
228|96|22OI2|150|ML|LOT|0|53|83||5.49
229|96|22OIF|60|ML|TIN|0|53|55||6.04
230|96|22OZ1|75|ML|ZCR|0|53|36||3.07
231|96|22OIE|75|ML|CRE|0|53|84||3.29
232|96|22OI3|100|ML|CRE|0|53|8||4.94
233|97|22OI3|20|ML|CRE|0|53|||2.37
234|98|22OI3|200|ML|LOT|0|53|8||18.64
235|99|10OZ03OH|20|ST|KTA|1|40|5||5.72
236|99|10OZ03OH|50|ST|KTA|1|40|5||12.08
237|92|2FOZ|10X1|ML|AMP|0|40|82||19.69
238|92|2FOZ|20|G|GLO|0|40|82||11.55
239|100|21OJ0|1|ST||0|53|85||0.81
240|101|10OJ01OX|12|ST|TAE|0|40|73||4.96
241|101|10OJ01OX|24|ST|TAE|0|40|73||7.70
242|92|2FOZ|20|G|GLO|0|40|82||11.55
243|92|2FOZ|20|G|GLO|0|40|82||11.55
244|92|2FOZ|20|G|GLO|0|40|82||11.55
245|102|17OK0|100|ML|LOE|0|40|57|B|12.60
246|52|22OIF|100|ML|SHA|0|53|60||14.52
247|25|20OHG|1|ST||0|53|86||2.02
248|92|2FOZ|20|G|GLO|0|40|82||11.55
249|103|1EOT01|6X1000|ML|LOE|0|53|87||27.32
250|47|21OI2|4X200|ML|LOE|0|53|69||20.37
251|104|20OHG|1|ST||0|53|33||95.59
252|19|21OIG|60|ST|DRA|0|53|88||46.75
253|92|2FOZ|50X1|ML|AMP|0|40|82||65.89
254|105|18OI0EOI|10|ST|FTA|1|40|50||7.93
255|105|18OI0EOI|20|ST|FTA|1|40|50||11.24
256|106|21OIG|3500|G|PUL|0|53|3||29.32
257|56|11OI02OJ|20|ST|TAB|1|40|||2.82
258|56|11OI02OJ|50|ST|TAB|1|40|50||4.73
259|107|2FOI|15|ML|LOE|0|40|89||22.00
260|108|22OI4|10|G|BAL|0|53|78||3.37
261|47|21OI2|4X200|ML|LOE|0|53|69||20.37
262|109|13OZ0F|200|ML|SAL|0|53|90||8.72
263|110|11OK10OI|10X1|ML|AMP|0|40|91||9.19
264|24|1COJ0EOT|2X75|ML|SIR|0|40|92|C|13.93
265|24|1COJ0EOT|75|ML|SIR|0|40|92|C|7.04
266|19|22OI3|100|ML|SAL|0|53|||19.14
267|19|22OI3|100|ML|SAL|0|53|25||19.14
268|111|10OJ04OH|3|ST|KLI|0|40|73||8.24
269|112|21OKG|120|ST|KAP|0|53|59|B|42.34
270|113|21OJ0|1|ST|BON|0|53|||3.85
271|114|2FOI|10|G|GLO|0|40|93||19.04
272|19|22OI3|10|ML|TRO|0|53|||7.26
273|115|21OKG|60|ST|KAP|0|53|61||20.85
274|116|1EOH1|1|ST|TES|0|53|94||13.57
275|99|22OIG|100|ML|BAL|0|53|64|B|17.38
276|96|22OI7|100|ML|XDS|0|53|40||4.39
277|117|11OK0EOI|100|ST|KMP|0|40|53||32.89
278|118|22OKG|1|ST||0|53|||6.59
279|95|20OH3|1|ST||0|53|||7.59
280|119|22OI3|200|ML|LOT|0|53|95||8.69
281|119|22OI3|200|ML|GEL|0|53|29||8.69
282|119|22OI3|100|ML|CRE|0|53|29||8.69
283|119|22OI2|200|ML|FLA|0|53|24||6.44
284|119|22OI3|15|ML|CRE|0|53|54||16.39
285|120|2FOI|20|ML|NTR|0|40|||15.35
286|121|1EOH1|1|ST|TES|0|53|51||19.10
287|120|2FOI|20|ML|NTR|0|40|96||15.35
288|122|22OI3|50|ML|CRE|0|53|97||16.34
289|122|22OI3|50|ML|CRE|0|53|97||17.44
290|52|19OT10OI|21|ST|PFL|0|40|98||73.22
291|52|19OT10OI|21|ST|PFL|0|40|98||74.60
292|52|19OT10OI|21|ST|PFL|0|40|98||76.11
293|123|10IZ22OS|20|ST|BTA|0|40|71||7.58
294|123|10IZ22OS|50|ST|BTA|0|40|71||14.63
295|123|10IZ22OS|100|ST|BTA|0|40|71||24.86
296|124|22OI5|50|G|CRE|0|53|20||8.47
297|124|22OI5|100|G|CRE|0|53|20||14.14
298|125|1EOH20OZ|50|ST|TTR|0|53|99||32.95
299|126|20OHE|1|ST||0|53|||20.02
300|124|22OI3|100|G|CRE|0|53|||14.14
301|17|2FOI|30|ML|TRO|0|40|||11.90
302|127|20OI3|25|ST||0|53|||15.49
303|127|20OI3|1|ST|VER|0|53|||1.36
304|36|21OKG|20|ML|TRO|0|53|47||13.20
305|36|21OKG|20|ML|TRO|0|53|47||13.20
306|14|21OK3|120|ST|KAP|0|53|75||38.50
307|128|1COI0FIO|20|ML|DSS|0|44|35|C|5.94
308|129|14OH2FOZ|100|ST|KAP|0|40|100||31.37
309|61|21OS0|20|ST|FBE|0|53|80||3.69
310|130|11OZ12OI|5|ST|STR|0|53|14||14.25
311|131|18OI0F|50|ST|FTA|0|40|27||18.54
312|67|21OK3|60|ST|TAB|0|53|61||41.79
313|132|19OZ1EOI|10|ST|KKS|0|40|101||2.71
314|132|19OZ1EOI|20|ST|TAB|1|40|50||5.45
315|126|20OH4|1|ST||0|53|102|B|39.49
316|133|1DOIF0ZO|30X0.6|ML|AUG|0|40|39||19.34
317|133|1DOIF0ZO|60X0.6|ML|AUG|0|40|39||32.99
318|133|1DOIF0ZO|120X0.6|ML|AUG|0|40|39||49.49
319|92|2FOZ|18|ML|TON|0|40|||2.42
320|17|2FOI|100|ML|LIQ|0|40|17||35.53
321|15|22OIE|1|ST||0|53|15||2.81
322|15|22OIE|1|ST||0|53|103||3.52
323|15|22OIE|1|ST||0|53|103||21.89
324|11|20OIF|1|ST||0|53|||26.38
325|134|22OZ1|75|ML|CRE|0|53|36||4.12
326|6|22OI3|25|ML|CRE|0|53|97||21.89
327|33|1COS20IZ|50|ML|TRO|0|40|18|B|10.49
328|33|1COS20IZ|100|ML|TRO|0|40|18|B|17.96
329|135|20OI1|2X500|ST|TUP|0|53|12||11.30
330|135|20OI2|1|ST|BIN|0|53|||1.23
331|135|20OI2|1|ST|BIN|0|53|104||1.36
332|136|21OKG|200|ST|KAP|0|53|94||27.48
333|136|21OKG|120|ST|KAP|0|53|105||32.45
334|19|21OJ0|75|G||0|53|||1.75
335|136|21OKG|120|ST|PRS|0|53|106||30.65
336|136|21OKG|60|ST|KAP|0|53|3||21.85
337|137|22OZ1|75|ML|ZPA|0|53|36||2.74
338|111|13OH01|50|G|LOT|0|40|46||9.88
339|111|13OH01|100|G|LOT|0|40|46||13.17
340|138|22OI3|500|ML|CRE|0|53|25||11.55
341|136|21OKG|180|ST|KAP|0|53|107||28.58
342|136|21OKG|180|ST|TAB|0|53|94||26.38
343|136|21OKG|240|ST|KAP|0|53|59||29.68
344|36|21OKG|20|ML|TRO|0|53|47||13.20
345|36|21OKG|20|ML|TRO|0|53|47||13.20
346|36|21OKG|20|ML|TRO|0|53|47||13.20
347|136|21OKG|180|ST|TAB|0|53|94||27.38
348|139|22OK1|100|G|SAL|0|53|108||18.15
349|136|21OKG|400|ST|KAP|0|53|94||35.75
350|140|21OKG|60|ST|KAP|0|53|||25.25
351|141|18OI0EOI|20|ST|WKA|1|40|50||12.29
352|141|18OI0EOI|50|ST|WKA|1|40|50||25.46
353|142|22OIE|75|ML|CRE|0|53|84||14.74
354|142|22OIF|200|ML|SHA|0|53|109||14.74
355|142|22OI3|30|G||0|53|80||11.11
356|33|13OZ01|65|G|SAL|0|40|90||9.09
357|6|22OI3|50|ML|CRE|0|53|95||5.39
358|6|21OKG|500|G|SLZ|0|53|76||5.39
359|143|21OKG|60|ST|KAP|0|53|||29.59
360|143|21OKG|200|ST|KAP|0|53|||80.19
361|144|22OI7|50|ML|SPR|0|53|40||19.69
362|145|22OI5|75|ML|CRE|0|53|110||8.75
363|4|1COS21OZ|50|ST|TAB|1|40|18|B|17.44
364|146|10OT30OK|12|ST|SMT|1|40|||9.78
365|147|20OHE|1|ST|TES|0|53|||4.39
366|89|22OH|200|ML|SPR|0|53|111|A|20.97
367|82|1COJ0FIK|20|ST|TAB|1|40|92|C|7.79
368|148|22OI2|15|ML|SPR|0|53|||4.35
369|82|1COJ0FIK|50|ST|TAB|1|40|92|C|17.83
370|82|1COJ0FIK|100|ST|TAB|1|40|92|C|33.90
371|149|13OX0FOS|250|ML|LOE|0|52|||10.66
372|150|22OZG|46|ST|DRA|0|53|43||3.84
373|150|22OZG|46|ST|DRA|0|53|43||3.84
374|4|18OZ01|20|G|SAL|0|40|25||10.97
375|79|18OI0EOI|10|ST|WKA|1|40|112|B|6.33
376|36|21OKG|20|ML|TRO|0|53|47||13.20
377|36|21OKG|20|ML|TRO|0|53|47||13.20
378|36|21OKG|20|ML|TRO|0|53|47||13.20
379|36|21OKG|20|ML|TRO|0|53|47||13.20
380|151|21OKG|60|ST|DRA|0|53|113||19.77
381|152|21OKG|60|ST|KAP|0|53|32||27.39
382|153|22OI3|100|ML|CRE|0|53|52||10.95
383|154|22OI9|20|ML|SPF|0|53|||4.95
384|155|22OI3|150|ML|LOT|0|53|114||18.59
385|101|21OK3|120|ST|KAP|0|53|115||35.15
386|156|1COS2|15|ST|FTA|0|40|116|B|10.97
387|156|1COS2|30|ST|FTA|0|40|116|B|21.97
388|156|1COS2|60|ST|FTA|0|40|116|B|35.75
389|103|22OI5|1|ST||0|53|103||3.29
390|157|21OK4|50|ST||0|52|23||12.76
391|157|21OK4|200|ST|Uta|0|52|23||38.45
392|10|1COI00OT|10|ML|Nas|1|40||C|3.29
393|158|22OIE|50|ML|CRE|0|53|84||8.75
394|159|22OIG|1|ST||0|53|12||5.45
395|159|22OIG|1|ST||0|53|12||5.45
396|159|22OIG|1|ST||0|53|12||5.45
397|159|22OIG|1|ST||0|53|12||5.45
398|159|22OIG|1|ST||0|53|12||10.95
399|159|22OIE|1|ST||0|53|15||16.45
400|159|22OIE|1|ST||0|53|15||16.45
401|159|22OIE|1|ST||0|53|15||17.55
402|159|22OKG|1|ST||0|53|117||16.45
403|159|22OIE|1|ST||0|53|15||19.75
404|159|22OIE|1|ST||0|53|15||29.65
405|159|22OIE|1|ST||0|53|15||3.58
406|159|22OIE|1|ST||0|53|15||3.80
407|159|22OIE|1|ST||0|53|15||4.12
408|159|22OIE|1|ST||0|53|15||5.78
409|159|22OIE|1|ST||0|53|15||7.65
410|159|22OIE|1|ST||0|53|15||9.85
411|159|22OIG|1|ST||0|53|118||6.88
412|159|22OIE|1|ST||0|53|15||3.25
413|24|11OI02OJ|50|ST|TMR|1|40|119||3.05
414|24|11OI02OJ|100|ST|TMR|1|40|119||4.35
415|160|22OI5|200|ML|SCH|0|53|110||17.22
416|160|22OI5|200|ML|SCH|0|53|20||16.45
417|152|21OKG|90|ST|FTA|0|53|61||41.58
418|71|10II40OI|10X5|ML|Ilo|0|40|||16.37
419|161|2FOI|10|G|GLO|0|40|||11.07
420|110|10IZ22OQ|50|ST|TAB|0|40|71||15.51
421|110|10IZ22OQ|100|ST|Tab|0|40|71||26.92
422|110|10IZ22OQ|200|ST|TAB|0|40|71||44.55
423|110|10IZ22OQ|20|ST|TAB|0|40|71||6.56
424|110|10IZ22OQ|1000|ST|TAB|0|40|71||158.95
425|30|20OZ0|10|ST|KAT|0|53|||221.73
426|17|2FOI|50|ST|TAB|0|40|17||10.97
427|17|2FOI|250|ST|TAB|0|40|17||41.49
428|153|22OI2|150|ML|XDG|0|53|76||6.27
429|162|21OS0|250|G|PUL|0|53|80||29.48
430|141|21OK3|100|ST|TAB|0|53|3||36.71
431|163|20OHG|1|ST||0|53|86||20.83
432|17|2FOI|50|ST|TAB|0|40|17||10.45
433|164|22OI5|100|G|SAL|0|53|110||7.07
434|163|20OH8|1|ST||0|53|86||4.94
435|41|22OI2|150|ML|GEL|0|53|24||16.39
436|36|21OKG|20|ML|TRO|0|53|47||13.20
437|36|21OKG|20|ML|TRO|0|53|47||13.20
438|36|21OKG|20|ML|TRO|0|53|47||13.20
439|36|21OKG|20|ML|TRO|0|53|47||13.20
440|56|14OI03OI|7X2.5|G|GEL|0|53|7||20.89
441|4|10OK11OI|20|ST|DRA|0|40|11||10.42
442|4|10OK11OI|50|ST|DRA|0|40|11||19.78
443|165|23|300|G|TAB|0|53|120||19.47
444|28|2FOI|120|ST|TAB|0|40|42||9.85
445|36|21OKG|20|ML|TRO|0|53|47||13.20
446|166|1DOIF0ZO|10|G|AUG|0|40|39||4.54
447|16|20OIF|2|ST||0|53|35||4.35
448|16|20OIF|40|G|SPR|0|53|121||8.79
449|167|21OK2|60|ST|KAP|0|53|71||18.64
450|168|1COSF|20|ST|FTA|0|40|116|B|10.89
451|168|1COSF|50|ST|FTA|0|40|18|B|24.48
452|168|1COSF|100|ST|FTA|0|40|18|B|45.27
453|18|10IZ00ZO|20|ST|BTA|0|40|122||8.24
454|18|10IZ00ZO|5X20|ST|BTA|0|40|123||35.19
455|41|22OI7|2X40|ML|CRE|0|53|40||17.60
456|41|22OI7|2X30|ML|CRE|0|53|40||20.94
457|91|20OHG|1|ST||0|53|35|B|14.33
458|36|21OKG|20|ML|TRO|0|53|47||13.20
459|36|21OKG|20|ML|TRO|0|53|47||13.20
460|36|21OKG|20|ML|TRO|0|53|47||13.20
461|36|21OKG|20|ML|TRO|0|53|47||13.20
462|169|22OZ1|75|ML|ZPA|0|53|124||4.39
463|169|22OZ1|75|ML|ZPA|0|53|36||4.39
464|18|10IZ0F|20|ST|BTA|1|40|125||7.87
465|18|10IZ0F|40|ST|BTA|1|40|125||14.61
466|18|10IZ0F|100|ST|BTA|1|40|125||31.68
467|3|1DOIF0ZO|60X0.3|ML|EDP|0|53|39||29.65
468|36|21OKG|20|ML|TRO|0|53|47||13.20
469|41|22OI7|2X100|ML|XDS|0|53|40||17.60
470|60|2FOZ|50|ML|ESS|0|40|90||12.47
471|60|2FOZ|100|ML|ESS|0|40|90||19.72
472|170|21OKF|3X30|ST|BEU|0|53|69||93.96
473|170|21OKF|3X30|ST|BEU|0|53|69||86.90
474|170|21OKF|3X30|ST|BEU|0|53|69||86.90
475|171|21OKG|60|ST|KAP|0|53|3||15.35
476|172|21OK2|100|ST|KAP|0|53|71||35.75
477|173|20OZ0|1|ST|FLA|0|53|||4.77
478|173|20OH4|1|ST|KOM|0|53|64||3.12
479|174|2FOI|100|ML|DIL|0|40|2||35.83
480|41|22OH|9|G|STI|0|53|111||13.20
481|60|22OI3|100|ML|OEL|0|53|||17.55
482|60|22OI3|10|ML|OEL|0|53|126||2.15
483|175|13OX0E|500|ML|FLU|0|53|127||17.46
484|19|2FOZ|100|ST|KAP|0|53|||8.18
485|19|2FOZ|100|ST|KAP|0|53|||8.97
486|176|1EOK01ZJ|50|ST|FTA|0|40|128||12.98
487|176|1EOK01ZJ|100|ST|FTA|0|40|128||21.89
488|177|2FOI|20|ML|TRO|0|40|129||27.28
489|177|2FOI|20|ML|TRO|0|40|129||27.28
490|177|2FOI|20|ML|TRO|0|40|129||27.28
491|177|2FOI|20|ML|TRO|0|40|129||27.28
